id,goodsCode,goodsCodeType,goodsBasicName,goodsBasicType,goodsBasicDesc,goodsMerchantId,merchantName,merchantPersonName,goodsUnit,goodsSize,goodsPrice,goodsGuaranteeLength,useGoodsCount
1204,6.93392E+12,NULL,丹姿海藻盈润水漾舒缓净透卸妆液P 200ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1×48,1,3,1204
1206,6.93392E+12,NULL,丹姿海藻盈润水漾多效修护眼部精华乳P 15g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1×48,1,3,1206
1213,6.93544E+12,NULL,安安首乌营养黑亮洗发露,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1kg*12,1,3,0
1215,6.93545E+12,NULL,多芬亲情套装牙刷D―200,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,1,3,1215
1222,6.93639E+12,NULL,御信堂亚多奇玫瑰沐浴盐（软管）,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,320g*24,1,3,1222
1224,6.93639E+12,NULL,御信堂亚多奇足浴盐（袋装组合）中药、薰衣草、牛奶,1,NULL,86,重庆市展鹿商贸有限公司,NULL,包,50g*100,1,3,0
1229,6.93775E+12,NULL,阿迪达斯天赋男士沐浴露250ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*12,1,3,0
1231,6.93775E+12,1,阿迪达斯男士走珠香体液-激情50ml,1,,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,1231
1238,6.93775E+12,1,阿迪达斯男士功能型香波沐浴露—水韵舒润250ml,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*12,1,4,1238
1240,6.93775E+12,1,阿迪达斯男士劲透控油深层洁面膏100g,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*24,1,5,1240
1247,6.93775E+12,NULL,阿迪达斯男士酷能醒肤多重焕活洁面乳100g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,1247
1249,6.93775E+12,NULL,阿迪达斯女士焕彩健肤沐浴露牛奶净润250ml*12,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,1249
1254,6.93866E+12,NULL,兰欣衣领净1+1,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,600ml+600ml×6,1,3,1254
1256,6.93866E+12,NULL,兰欣婴幼儿洗衣液1L,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1L×12,1,3,0
1263,6.93866E+12,NULL,兰欣柠檬洗洁精（压泵）,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,2kg×8,1,3,0
1265,6.9427E+12,NULL,韩束纤纤伴手礼盒40ml*3,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,6*8,1,5,1265
1272,6.9427E+12,NULL,韩束金缕梅控油面膜,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,6*20片/箱,1,4,1272
1274,6.9427E+12,1,韩束小黑瓶迷迭香细致毛孔面膜,1,,86,重庆市展鹿商贸有限公司,NULL,盒,6*20片/箱,1,4,1274
1279,6.9427E+12,NULL,韩束雪白肌透白平衡凝露50g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,4*12,1,5,1279
1281,6.9427E+12,NULL,韩束雪白肌透白平衡晚安面膜150g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,4*12,1,5,1281
1288,6.9427E+12,NULL,韩束蜗牛弹润修护原液30ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,8*6,1,5,1288
1290,6.9427E+12,NULL,韩束美白补水臻享套组150ml+150ml+30ml+4g*2,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,24盒/箱,1,5,1290
1297,6.9427E+12,NULL,韩束墨菊深度补水洁面乳150ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,8*6,1,5,1297
1299,6.9427E+12,1,韩束墨菊深度补水乳175ml,1,,86,重庆市展鹿商贸有限公司,NULL,瓶,8*6,1,5,1299
1304,6.9427E+12,NULL,韩束细致丝滑洁面乳100ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,8*6,1,5,1304
1306,6.9427E+12,NULL,韩束毛孔净化洁颜泥100ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,8*6,1,5,1306
1313,6.94373E+12,NULL,劲浪竹炭抑菌牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*300,1,5,1313
1315,6.94373E+12,NULL,劲浪舒爽防滑型牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*300,1,5,1315
1322,6.94373E+12,NULL,劲浪VIP黑色植毛牙刷,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*300,1,5,1322
1324,6.94475E+12,NULL,美肤宝补水舒润礼盒,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*12,1,4,1324
1329,6.94475E+12,NULL,滋源茶籽水润去屑洗头水(中干性),1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,535ml*12,1,3,1329
1331,6.94475E+12,NULL,滋源茶籽控油去屑护发素(油性),1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,535ml*12,1,3,1331
1338,6.94475E+12,NULL,滋源茶籽水润去屑洗头水(中干性),1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,265ml*12,1,3,1338
1340,6.94475E+12,NULL,滋源茶籽控油去屑护发素(油性),1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,265ml*12,1,3,1340
1347,6.94904E+12,NULL,青蛙王子儿童洗发沐浴露(水果精华),1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,24瓶×480ml,1,3.5,1347
1349,6.94904E+12,NULL,青蛙王子儿童沐浴露(柠檬维C),1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,12瓶×1100ml,1,3.5,1349
