id,storeName,storeAddress,storeCreatetime,storeUpdatetime,storePhone,storeDesc,storeArea,storeOrg,storePersonName,distributeType,channel,merchantName
699,永辉万州春天花园,,59:00.6,10:31.3,15320715069,,NULL,永辉,周代殊,2,中铁物流,NULL
700,重百合川南津街,重庆合川市南津街书院路6号新世纪超市,13:53.5,53:56.8,15111879026,【重百】重庆商社新世纪百货连锁经营有限公司合川南津街店,NULL,重庆百货,杨晓琴,2,中铁物流,NULL
701,荣昌安富廖申芳,,38:59.6,55:37.1,15111845921,,NULL,分销客户,廖申芳,2,迪丰物流,NULL
702,渝中区永辉大坪龙湖时代天街店,,33:26.2,51:12.9,1,重庆渝中区--龙湖时代天街店,NULL,联营永辉,1,1,,NULL
703,江北区人人乐五里店,,03:38.2,16:28.3,1,,NULL,人人乐,1,1,,NULL
704,龙泽军,,10:13.2,04:22.8,0,,NULL,分销客户,0,1,,NULL
705,渝北区永辉黄泥磅店,,13:30.3,02:33.8,15215096819,重庆渝北区--黄泥塝店,NULL,联营永辉,杨传容,1,,NULL
706,开县周建明,,20:42.2,17:23.4,13098660569,,NULL,分销客户,周建明,2,黄花梨物流或港茂物流或龙国物流,NULL
707,KA 专供,,25:11.9,29:58.8,1,,NULL,沃尔玛,1,1,,NULL
708,重百陈家桥店,重庆市沙坪坝区陈家桥镇545号,48:51.0,26:51.4,18223001641,【重百】重庆商社新世纪百货连锁经营有限公司陈家桥店,NULL,重百,喻红,2,中铁物流,NULL
709,朝天门李可伟,重庆市渝中区日月光2楼太平洋,24:26.2,36:39.8,13368176291,,NULL,分销客户,谭建,1,,NULL
710,重百武胜店,四川省广安市武胜县重百武胜店超市韩束专柜重百超市,25:20.2,11:55.5,138 8262 3841,【重百】重庆商社新世纪百货连锁经营有限公司武胜店,NULL,四川重百,郑星星,2,天天快递,NULL
711,成都办,成都市新都区军屯镇军浙路898号（皇家金盾集团内）商贸城,10:35.4,36:05.4,15348172719,,NULL,展鹿,曾莉,2,汇运物流,NULL
712,丰都陈天龙,,44:16.5,43:37.0,13983596185,,NULL,分销客户,陈天龙,2,展旺物流,NULL
713,新世纪武胜城南店,四川广安市武胜县振兴路与柳堡街交汇处武胜城南重百超市,05:40.8,58:21.2,15082698896,重庆商社新世纪百货连锁经营有限公司武胜城南店,NULL,四川新世纪,谭春华,2,京东物流,NULL
714,巫山曹洋,,54:10.2,01:54.4,13388943237,,NULL,分销客户,曹洋,2,乘风物流,NULL
715,奉节陈华,,17:21.2,37:25.1,18580839927,,NULL,分销客户,陈华,2,恒耀物流或李姐物流,NULL
717,万州攀松商贸公司,重庆市万州区枇杷坪东路66号门面（睿尚城车库）,02:00.3,00:11.0,13212520668,重庆攀松商贸有限公司（袁定祥、郭翠娟）,NULL,分销客户,陈波,2,万佳物流或龙国物流,NULL
718,云阳谭真春,,04:11.7,00:24.6,15310034897,,NULL,分销客户,谭真春,2,迪丰物流,NULL
719,网络销售,,26:44.7,47:12.2,0,,NULL,网络销售,0,2,韵达快递,NULL
720,贵阳办刘灿,,14:09.4,11:07.6,0,,NULL,展鹿,0,2,迪丰专线物流,NULL
721,遵义袁玉荣,,14:29.2,27:41.7,0,,NULL,零售客户,0,2,,NULL
722,西藏苏红利,,15:56.9,00:16.7,13890139233,,NULL,分销客户,苏红利,2,便捷物流,NULL
723,重庆鑫彦大药房,,35:33.9,40:43.8,0,,NULL,分销客户,0,1,,NULL
724,武隆彭静,,33:20.5,59:48.2,18983866989,,NULL,分销客户,彭静,2,迪丰物流,NULL
725,巴南区谢潮红,木洞轻纺城,54:37.3,48:33.1,17783356629,,NULL,分销客户,何巧巧,2,中铁物流,NULL
726,万州办,万州春天花园25号楼负一楼10号门面,41:25.6,19:40.9,15320715069,,NULL,展鹿,周代殊,2,中铁物流,NULL
727,湖北宜昌五峰粤客隆,湖北宜昌五峰渔洋关粤客隆超市,31:09.1,26:36.8,15972709559,包场宜昌五峰（粤客隆购物广场）,NULL,包场,田玲,2,金瑞物流,NULL
728,沙坪坝区永辉大学城春华秋实店,重庆重庆市沙坪坝区大学城中路与思贤路交叉口春华秋实永辉超市,50:07.4,46:37.1,15111802091,重庆沙坪坝区--春华秋实店,NULL,重庆永辉,徐会丽,2,中铁物流,NULL
729,万州苏春红,,01:02.7,32:14.0,13594761166,,NULL,分销客户,苏春红,2,龙国物流,NULL
730,张天伟,,27:27.7,28:04.6,13132385698,,NULL,零售客户,0,2,,NULL
731,胡会容15025608820,,12:12.2,28:10.7,15025608820,,NULL,零售客户,0,2,,NULL
732,酉阳付玉武,,58:27.8,59:10.8,13896830396,,NULL,客户,付玉武,2,迪丰物流,NULL
734,垫江蒋邦春,,38:38.7,40:31.6,13996732656,,NULL,分销客户,张生兰,2,迪丰物流,NULL
735,邦煜生物科技,,08:35.7,28:29.9,13701547921,,NULL,邦煜生物,左老板,2,,NULL
736,贵州观山湖万达店,,56:00.8,09:07.9,18984039187,,NULL,贵阳永辉,刘灿,2,迪丰专线物流,NULL
737,四川阆中吴姐,,59:06.3,58:14.4,13688224525,,NULL,客户,吴姐,2,苍广物流,NULL
738,永辉泸州万达广场店,四川省泸州市龙马潭区金带路与红星路交汇处永辉超市,38:14.6,17:00.1,17721979730,四川泸州市--泸州万达广场店,NULL,四川永辉,李建梅,2,中铁物流,NULL
740,九龙坡区永辉谢家湾店,,00:56.8,58:29.2,15696122331,重庆九龙坡区--谢家湾店,NULL,联营永辉,周利,1,,NULL
741,南岸区永辉奥园城市天地,,09:37.9,40:05.5,1,重庆南岸区--奥园城市天地店,NULL,联营永辉,1,1,,NULL
742,尹波片区,,43:30.6,04:52.5,0,,NULL,KA系统,0,1,,NULL
743,刘南平片区,,22:48.6,28:34.4,0,,NULL,永辉,0,1,,NULL
744,何忠丽片区,,23:19.3,28:39.2,0,,NULL,永辉,0,1,,NULL
745,程国华片区,,23:45.9,28:43.3,0,,NULL,永辉,0,1,,NULL
746,封兴勤片区,,24:04.4,28:47.3,0,,NULL,永辉,0,1,,NULL
747,何华明片区,,24:22.6,28:51.3,0,,NULL,永辉,0,1,,NULL
748,王伟片区,,28:11.8,28:55.9,0,,NULL,永辉,0,1,,NULL
749,熊敏片区,,32:47.3,29:00.8,0,,NULL,永辉,0,1,,NULL
750,重庆永辉大足五星大道店,重庆市大足区棠香街道五星大道永辉超市,32:27.8,28:19.3,18725688938,重庆大足区--五星大道店,NULL,重庆永辉,郑开芳,2,中铁物流,NULL
752,李先均,,56:40.2,14:01.8,13098600423,,NULL,零售客户,李先均,2,,NULL
753,江北区新世纪华融现代广场店,重庆市渝北区新南路429号新世纪百货华融现代广场店,39:58.2,20:27.2,13883932753,重庆商社新世纪百货连锁经营有限公司华融现代城,NULL,新世纪,雷小玉,1,,NULL
754,永辉广元摩尔天成店,四川省广元市利川区老城南街摩尔天成永辉超市,12:07.8,59:28.1,13458134095,四川广元市--摩尔天成店,NULL,四川永辉,吴永秀,2,美得物流,NULL
757,渝北区金龙路田子葵,重庆渝北区龙溪镇金龙路207号,52:02.3,17:22.0,13330387141,,NULL,重庆尚娜商贸,陈家梅,1,,NULL
758,库房,,58:19.9,NULL,1,,NULL,展鹿,1,,,NULL
759,南岸区杨道圣,,15:16.3,15:27.5,1,,NULL,分销客户,1,1,,NULL
760,成都办内购专用,成都市成华区二环东二段七号东城国际A幢2103,22:27.9,07:07.8,18280466291,,NULL,成都办内购,张金花,2,京东物流,NULL
762,秀山曾庆峰（美源兴商贸）,重庆市秀山县迎凤路旭升小车维修中心斜对面美源兴商贸有限公司,57:08.4,52:13.1,17723220350,,NULL,分销客户,陈超,2,良琨物流或迪丰物流或辉达物流,NULL
763,大丰镇成都爱上生活,,30:49.7,36:44.2,13688001338,包场成都爱上生活超市,NULL,包场,刘兴平,2,余氏东风,NULL
764,永辉眉山万达广场店,四川省眉山市文忠街眉山市体育馆旁永辉超市,03:55.3,05:06.2,14780142266,四川眉山市--眉山万达广场店,NULL,四川永辉,罗庆,2,中铁物流,NULL
766,永辉四川省南充营山店,南充市营山县复兴路与一环路北段交汇处永辉超市,39:51.2,03:40.0,15928497277,四川南充市--南充营山店,NULL,四川永辉,王艳燕,2,京东物流,NULL
768,贵阳办王朝英,,41:34.0,15:08.0,13984363007,,NULL,展鹿,王朝英,2,迪丰专线物流,NULL
769,大渡口冷超,大渡口区双城路199号雅居乐御宾府3期6幢1-1,11:44.2,31:14.3,18523188881,,NULL,分销客户,任雪春,2,中铁物流,NULL
770,利川杨兰,湖北恩施利川市文斗乡平安路43号,12:59.2,40:34.7,18771204888,,NULL,分销客户,杨兰,2,金瑞物流或渝利快运,NULL
771,成都乐山市闵龙江,乐山市长青路1555号家家乐超市连锁,42:40.9,03:08.1,18228315903,,NULL,成都团购,闵龙江,2,便捷物流,NULL
772,涪陵包剑彬,,42:58.0,26:09.6,15330511668,,NULL,分销客户,包建彬,2,迪丰物流,NULL
773,永辉四川乐山犍为店,四川省乐山市犍为县凤凰路南段99号永辉超市,02:27.4,30:09.3,13666278027,四川乐山市--乐山犍为店,NULL,四川永辉,李妍妍,2,京东物流,NULL
774,成都唐波（可贝尔）,,07:20.5,39:17.7,13982213858,,NULL,成都唐波,唐春梅,2,便捷物流,NULL
776,贵州品方商贸龚发伟,贵阳金关金伍路230号,11:01.6,38:38.1,18785172245,,NULL,分销客户,龚发伟,2,迪丰专线物流和团结物流,NULL
777,家乐福达州大竹店,,40:38.2,04:33.7,15983879878,,NULL,家乐福,秦飞,2,中铁物流,NULL
778,家乐福四川南充文化店,,32:08.9,04:22.2,15583007232,,NULL,家乐福,李丹,2,中铁物流,NULL
779,重庆美倩（李仁刚）,,15:18.6,07:10.1,13102322323,,NULL,分销客户,冉梦林,1,,NULL
780,南岸区人人乐万象汇店,,43:46.0,51:48.9,13068304979,人人乐万象汇店,NULL,人人乐,陈杰,1,,NULL
781,荣昌恒美日化李敬亦,重庆市荣昌县石桥镇,35:11.6,46:19.0,17738569483,,NULL,分销客户,李敬亦,2,海鸿物流  或者迪丰物流,NULL
782,合川黄麟雯,合川东津坨东津路114号,42:30.5,19:25.6,13370730688,,NULL,分销客户,黄麟雯,2,金环物流,NULL
783,龙崇霞片区,,41:31.2,49:57.3,18580047186,,NULL,重庆永辉,龙崇霞,1,,NULL
