,库位,,,,,,,分区,仓库,
677,A-14-04,43:29.8,NULL,NULL,16,NULL,NULL,NULL,NULL,0
679,A-15-02,43:31.2,NULL,NULL,16,NULL,NULL,NULL,NULL,0
681,A-15-03,43:33.0,NULL,NULL,16,NULL,NULL,NULL,NULL,0
686,F-01-82,43:37.8,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
688,A-13-01,43:39.9,NULL,NULL,16,NULL,NULL,NULL,NULL,0
695,C-01-15,43:52.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
697,C-01-01,43:53.0,NULL,NULL,18,NULL,NULL,NULL,NULL,0
702,C-03-02,43:57.1,NULL,NULL,18,NULL,NULL,NULL,NULL,0
704,C-01-04,43:59.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
706,C-02-01,44:00.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
711,C-09-07,44:07.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
713,C-01-17,44:09.3,NULL,NULL,18,NULL,NULL,NULL,NULL,0
720,C-02-06,44:13.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
722,C-02-16,44:15.0,NULL,NULL,18,NULL,NULL,NULL,NULL,0
727,C-09-08,44:17.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
729,C-03-14,44:18.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
731,B-12-01,44:19.4,NULL,NULL,17,NULL,NULL,NULL,NULL,0
736,B-12-06,44:21.3,NULL,NULL,17,NULL,NULL,NULL,NULL,0
738,B-12-08,44:22.0,NULL,NULL,17,NULL,NULL,NULL,NULL,0
745,B-13-07,44:24.3,NULL,NULL,17,NULL,NULL,NULL,NULL,0
747,B-10-02,44:25.1,NULL,NULL,17,NULL,NULL,NULL,NULL,0
754,B-11-01,44:27.5,NULL,NULL,17,NULL,NULL,NULL,NULL,0
756,B-11-03,44:28.2,NULL,NULL,17,NULL,NULL,NULL,NULL,0
761,C-10-16,44:29.9,NULL,NULL,18,NULL,NULL,NULL,NULL,0
763,B-08-02,44:30.8,NULL,NULL,17,NULL,NULL,NULL,NULL,0
770,B-09-01,44:33.2,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1121,C-05-14,48:56.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1123,C-05-19,48:57.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1130,E-02-17,49:13.0,NULL,NULL,21,NULL,NULL,NULL,NULL,0
1132,C-17-07,49:15.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1137,C-17-12,49:21.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1139,A-03-04,49:25.3,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1146,C-10-04,49:35.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1148,C-10-08,49:37.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1155,C-10-03,49:40.3,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1157,C-10-06,49:41.3,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1162,A-14-06,49:47.5,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1164,A-14-05,49:49.9,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1171,C-08-06,50:00.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1173,B-05-06,50:01.8,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1180,C-07-19,50:10.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1182,C-07-06,50:12.9,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1187,C-05-20,NULL,,,NULL,,,NULL,NULL,0
1189,C-13-15,NULL,,,18,,,NULL,NULL,0
1196,C-01-20,56:17.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1198,D-05-08,41:06.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1205,E-01-15,08:39.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1207,E-01-17,08:40.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1214,F-03-02,20:59.4,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
1237,D-10-06,12:33.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1239,F-03-01,05:46.0,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
1246,C-04-17,35:54.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1248,D-02-07,26:22.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1255,B-17-04,NULL,,,17,,,NULL,NULL,0
1257,D-11-02,47:43.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1262,A-06-18,43:03.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1264,C-17-18,30:11.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1271,M-01-02,34:02.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1273,M-01-04,34:02.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1280,M-01-11,34:02.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1282,M-02-04,34:02.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1287,M-02-06,34:02.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1289,M-02-08,34:02.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1291,C-13-03,46:13.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1296,Y-14-04,41:18.0,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1296
1298,Y-14-06,41:18.0,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1298
1305,X-09-06,41:18.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1305
1307,X-09-07,41:18.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1307
1312,Y-01-05,05:54.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1312
1314,Y-01-07,05:54.9,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1314
1316,Y-08-01,05:54.9,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1316
1321,W-01-04,08:58.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1321
1323,W-01-06,08:58.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1323
1330,W-01-13,08:58.4,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1330
1332,W-01-15,08:58.4,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1332
1337,Y-08-04,22:42.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1337
1339,Y-08-06,22:42.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1339
1341,Y-14-01,22:42.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1341
1346,Y-09-08,13:13.7,,,30,,,Y区,展鹿主仓库,1346
1348,Y-12-02,13:13.8,,,30,,,Y区,展鹿主仓库,1348
1355,Y-09-05,13:13.9,,,30,,,Y区,展鹿主仓库,1355
1357,Y-02-02,51:10.4,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1357
1364,Y-05-01,51:10.5,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1364
1366,w-03-01,51:37.4,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1366
1371,w-04-16,51:37.5,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1371
1373,w-04-14,51:37.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1373
1380,Y-04-05,56:38.2,,,30,,,Y区,展鹿主仓库,1380
1382,Y-04-07,56:38.2,,,30,,,Y区,展鹿主仓库,1382
1389,w-01-19,05:29.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1389
1391,w-02-07,05:29.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1391
1396,w-02-16,05:29.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1396
1398,w-03-18,05:29.4,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1398
1405,Y-06-06,26:44.5,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1405
1407,Y-06-08,26:44.6,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1407
1414,w-03-19,37:03.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1414
1416,w-03-15,37:03.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1416
1421,Y-13-01,48:28.9,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1421
1423,Y-13-03,48:29.0,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1423
1430,X-12-02,48:29.0,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1430
1432,X-12-04,48:29.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1432
1439,W-04-15,59:06.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1439
1441,W-05-03,59:06.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1441
1446,w-04-07,59:49.0,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1446
1448,w-05-04,59:49.0,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1448
1455,X-15-03,02:16.5,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1455
1111,C-07-07,48:47.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1124,C-05-17,49:00.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1125,C-05-16,49:05.0,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1126,C-05-06,49:07.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1127,E-02-16,49:09.0,NULL,NULL,21,NULL,NULL,NULL,NULL,0
1128,E-02-15,49:09.7,NULL,NULL,21,NULL,NULL,NULL,NULL,0
1141,A-03-03,49:27.5,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1142,A-03-06,49:28.9,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1143,A-06-08,49:32.7,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1144,C-10-02,49:34.9,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1158,C-09-06,49:41.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1159,C-10-07,49:42.1,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1160,C-14-01,49:42.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1161,A-14-08,49:46.6,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1175,B-06-02,50:03.8,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1176,B-06-01,50:06.8,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1177,C-08-09,50:08.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1178,C-07-15,50:09.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1191,T-02-01,22:02.1,,,23,,,T区,展鹿赠品物料仓库,1191
1192,H-06-02,46:00.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1193,C-20-12,28:47.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1194,C-20-01,28:47.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1209,E-07-01,07:51.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1210,C-18-01,39:32.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1211,C-09-19,39:32.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1241,C-12-05,48:53.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1242,C-14-15,13:32.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1243,C-04-18,22:25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1244,E-10-01,50:26.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1245,E-10-02,09:46.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1258,C-10-18,56:42.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1259,C-12-18,25:05.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1260,F-03-07,04:24.0,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
1261,F-04-06,04:24.1,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
1275,M-01-06,34:02.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1276,M-01-07,34:02.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1277,M-01-08,34:02.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1278,M-01-09,34:02.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1292,W-01-01,21:41.7,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1292
1293,F-01-16,04:22.7,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,1293
1294,C-13-02,36:11.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1295,C-13-17,14:46.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1308,Y-01-01,05:54.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1308
1309,Y-01-02,05:54.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1309
1310,Y-01-03,05:54.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1310
1311,Y-01-04,05:54.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1311
1325,W-01-08,08:58.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1325
1326,W-01-09,08:58.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1326
1327,W-01-10,08:58.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1327
1328,W-01-11,08:58.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1328
1342,Y-14-02,22:42.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1342
1343,Y-14-03,22:42.9,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1343
1344,Y-09-06,13:13.7,,,30,,,Y区,展鹿主仓库,1344
1345,Y-09-07,13:13.7,,,30,,,Y区,展鹿主仓库,1345
1358,Y-02-03,51:10.4,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1358
1359,Y-02-04,51:10.4,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1359
1360,Y-02-05,51:10.4,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1360
1361,Y-02-06,51:10.5,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1361
1362,Y-02-07,51:10.5,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1362
1375,w-05-16,51:37.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1375
1376,Y-04-01,56:38.1,,,30,,,Y区,展鹿主仓库,1376
1377,Y-04-02,56:38.1,,,30,,,Y区,展鹿主仓库,1377
1378,Y-04-03,56:38.2,,,30,,,Y区,展鹿主仓库,1378
1392,w-02-08,05:29.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1392
1393,w-02-19,05:29.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1393
1394,w-02-18,05:29.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1394
1395,w-02-17,05:29.3,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1395
1409,Y-09-03,26:44.7,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1409
1410,Y-09-04,26:44.7,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1410
1411,w-02-06,37:03.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1411
1412,w-02-11,37:03.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1412
1425,Y-13-05,48:29.0,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1425
1426,Y-13-06,48:29.0,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1426
1427,Y-13-07,48:29.0,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1427
1428,Y-13-08,48:29.0,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1428
1442,W-05-07,59:06.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1442
1443,W-05-09,59:06.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1443
1444,W-06-07,59:06.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1444
1445,W-06-08,59:06.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1445
1459,X-15-08,02:16.5,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1459
1460,X-11-01,02:16.6,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1460
1461,X-11-02,02:16.6,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1461
1462,X-11-03,02:16.6,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1462
1475,X-10-03,15:41.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1475
1476,X-10-04,15:41.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1476
1477,X-10-05,15:41.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1477
1478,X-10-06,15:41.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1478
1479,X-10-07,15:41.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1479
1492,x-15-01,24:18.6,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1492
1493,x-15-02,24:18.6,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1493
1494,W-06-05,25:05.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1494
1495,W-06-06,25:05.7,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1495
1509,Y-07-05,28:03.5,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1509
1510,W-06-15,40:43.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1510
1511,W-06-16,40:43.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1511
1512,W-07-15,40:43.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1512
1526,x-16-04,40:53.3,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1526
1527,x-16-05,40:53.4,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1527
1528,x-16-06,40:53.4,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1528
1529,Y-07-06,47:05.4,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,1529
1542,w-06-02,59:18.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1542
1543,w-06-03,59:18.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1543
1544,w-07-03,59:19.0,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1544
1545,w-07-05,59:19.0,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1545
1559,X-04-04,59:28.2,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1559
1560,X-04-05,59:28.2,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1560
1561,X-04-06,59:28.2,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1561
1562,X-04-07,59:28.2,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1562
1576,W-11-02,01:20.0,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1576
1577,W-11-03,01:20.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1577
1578,W-11-05,01:20.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1578
1579,W-11-09,01:20.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1579
1592,X-03-04,13:58.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1592
1593,X-03-05,13:58.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1593
1594,X-03-06,13:58.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1594
1595,X-03-07,13:58.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1595
1596,X-03-08,13:58.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,0
1609,X-06-02,13:59.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1609
1610,X-07-08,13:59.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1610
1611,X-07-07,13:59.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1611
1612,X-07-06,13:59.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1612
1626,Z-03-01,17:33.2,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,1626
1627,Z-03-02,17:33.2,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,1627
1628,Z-03-03,17:33.3,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,0
1629,Z-03-04,17:33.3,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,0
1642,w-02-10,33:17.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1642
1643,w-02-12,33:17.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1643
1644,w-02-13,33:17.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1644
1645,w-02-14,33:17.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1645
1646,w-03-03,33:17.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1646
1659,W-09-12,29:19.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1659
1660,W-09-13,29:19.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1660
1661,W-10-17,29:19.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1661
1662,W-10-15,29:19.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1662
1676,x-13-06,35:28.0,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1676
1677,x-13-07,35:28.0,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1677
1678,x-02-07,35:28.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1678
1679,x-02-06,35:28.1,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1679
1693,X-08-02,38:32.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1693
1694,X-08-01,38:32.9,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1694
1695,W-09-06,38:32.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1695
1696,W-09-11,38:32.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1696
1709,W-09-18,49:58.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1709
1710,W-09-16,49:58.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1710
1711,W-09-15,49:58.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1711
1712,W-10-18,49:58.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1712
1713,W-10-16,49:58.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1713
1726,w-10-03,50:48.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1726
1727,w-10-07,50:48.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1727
1728,w-11-08,50:48.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1728
1729,w11-16,50:48.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
1743,Z-07-01,52:27.8,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,1743
1744,Z-07-02,52:27.8,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,1744
1745,Z-07-03,52:27.8,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,1745
1746,Z-07-04,52:27.8,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,1746
1759,W-06-10,08:16.5,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1759
1760,W-06-13,08:16.5,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1760
1761,W-06-19,08:16.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1761
1762,W-06-18,08:16.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1762
1763,W-06-17,08:16.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1763
1776,W-13-03,26:35.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1776
1777,W-14-04,26:35.7,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1777
1778,W-14-13,26:35.7,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1778
1779,W-14-14,26:35.7,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1779
1793,W-14-12,37:14.4,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1793
1794,W-14-17,37:14.5,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1794
1795,W-16-18,37:14.5,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1795
1796,U-03-04,37:14.5,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1796
1810,W16-3,14:01.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
1811,W-16-04,14:01.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1811
1812,W-16-05,14:01.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1812
1813,W-16-06,14:01.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1813
1826,Z-08-04,34:40.0,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,1826
1827,X-14-03,34:40.0,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,1827
1828,W-11-14,37:26.1,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1828
1829,W-12-18,37:26.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1829
1830,W-12-17,37:26.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1830
1843,W-11-06,50:53.5,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1843
1844,W-11-10,50:53.5,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1844
1845,W-11-13,50:53.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1845
1846,W-11-18,50:53.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1846
1860,W-15-14,37:53.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1860
1861,W-15-11,37:53.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1861
1862,W-16-15,37:53.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1862
1863,W-16-16,37:53.6,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1863
1876,U-11-03,37:53.9,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,0
1877,U-10-01,51:31.4,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1877
1878,U-10-02,51:31.4,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1878
1879,U-10-03,51:31.4,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1879
1880,U-10-04,51:31.5,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1880
1893,U-09-03,51:36.7,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1893
1894,U-09-04,51:36.8,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1894
1895,U-09-05,51:36.8,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1895
1896,U-09-06,51:36.8,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1896
1910,Y-06-09,NULL,,,30,,,Y区,展鹿主仓库,1910
1911,U-16-06,00:27.0,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,0
1912,U-16-07,00:27.0,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,0
